[[0 0]
 [0 0]]
[0 0]
[ 0.00207099  0.00248508]
[ 0.05787848  0.06893307]
[ 0.15759329  0.17818292]
[ 0.27638032  0.30466872]
[ 0.39258617  0.42682523]
[ 0.49659421  0.53543326]
[ 0.58656683  0.62898398]
[ 0.66330143  0.70847889]
[ 0.7287032  0.7760165]
[ 0.78509985  0.83409174]
[ 0.83234506  0.88248438]
[ 0.87164335  0.92250467]
[ 0.90434252  0.95558854]
[ 0.93153231  0.98288836]
[ 0.95404348  1.00528547]
[ 0.97235465  1.0233089 ]
[ 0.98739086  1.03792669]
[ 0.99940489  1.04944065]
[ 1.00909185  1.05857285]
[ 1.01714691  1.06602087]
[ 1.02385906  1.07208463]
[ 1.02959385  1.07712445]
[ 1.03469513  1.0814661 ]
[ 1.0392548   1.08519823]
[ 1.04293247  1.08803557]
[ 1.04594824  1.09020072]
[ 1.04829442  1.09171094]
[ 1.05020934  1.09279443]
[ 1.05177456  1.09353404]
[ 1.05299519  1.0939461 ]
[ 1.05398588  1.09414   ]
[ 1.05475688  1.09413195]
[ 1.05536822  1.09398043]
[ 1.05585254  1.0937182 ]
[ 1.05620276  1.09334385]
[ 1.05651256  1.09294093]
[ 1.05667813  1.09242324]
[ 1.05680463  1.09188564]
[ 1.05678796  1.09124166]
[ 1.05679848  1.0906407 ]
[ 1.05680214  1.09005094]
[ 1.05673218  1.08941636]
[ 1.05664007  1.08878401]
[ 1.05656684  1.08818888]
[ 1.05647553  1.08759834]
[ 1.05639779  1.08704013]
[ 1.05628151  1.08646938]
[ 1.05616749  1.08592272]
[ 1.05603373  1.08538108]
[ 1.0558511   1.08482048]
[ 1.05569289  1.08430538]
[ 1.0555495   1.08382581]
[ 1.05539982  1.08336298]
[ 1.05521387  1.08289156]
[ 1.05505584  1.08246812]
[ 1.05494795  1.08211014]
[ 1.05480759  1.08174448]
[ 1.0546808   1.08141263]
[ 1.05452425  1.0810765 ]
[ 1.05439918  1.08079022]
[ 1.05422087  1.08047891]
[ 1.05402999  1.0801799 ]
[ 1.05390648  1.0799625 ]
[ 1.05393421  1.07989666]
[ 1.053704    1.07962153]
[ 1.0535313   1.07942234]
[ 1.05365342  1.07950214]
[ 1.05364044  1.07947558]
[ 1.05332941  1.07920778]
[ 1.05310339  1.07904291]
[ 1.05308825  1.07908559]
[ 1.05369911  1.07968977]
[ 1.05257918  1.07877706]
[ 1.05220053  1.07857155]
[ 1.05220997  1.07872963]
[ 1.05213172  1.07882151]
[ 1.05202439  1.07890476]
[ 1.05180904  1.0789114 ]
[ 1.05170447  1.07903727]
[ 1.05159098  1.07917276]
[ 1.051473    1.07932239]
[ 1.0513897   1.07952081]
[ 1.05127989  1.079713  ]
[ 1.05118424  1.07993567]
[ 1.05099254  1.08009079]
[ 1.05121218  1.08062911]
[ 1.0509573   1.08075688]
[ 1.05121616  1.08136158]
[ 1.05082903  1.08140386]
[ 1.05068837  1.0816904 ]
[ 1.05059318  1.08203392]
[ 1.0505792   1.08246509]
[ 1.05065107  1.08298643]
[ 1.05040457  1.08323941]
[ 1.05081992  1.08409807]
[ 1.05036635  1.08419395]
[ 1.0503203   1.08467734]
[ 1.04995621  1.08489306]
[ 1.0497984   1.08531233]
[ 1.04968049  1.08578155]
[ 1.04951109  1.08621943]
[ 1.04942741  1.08674883]
[ 1.04939034  1.08733311]
[ 1.04933746  1.08791656]
[ 1.04972148  1.08889963]
[ 1.0495458   1.08939466]
[ 1.04955687  1.09007389]
[ 1.04935447  1.09057803]
[ 1.04939242  1.0913113 ]
[ 1.04927949  1.09192283]
[ 1.04904355  1.09244084]
[ 1.04896651  1.09311513]
[ 1.04900374  1.0939022 ]
[ 1.04893327  1.09460521]
[ 1.04883635  1.09529847]
[ 1.04864591  1.09592291]
[ 1.04846848  1.09657317]
[ 1.04821465  1.09716925]
[ 1.04812485  1.09792339]
[ 1.0480851   1.09873188]
[ 1.04819488  1.09968197]
[ 1.04791545  1.10029914]
[ 1.04786979  1.10113707]
[ 1.04783429  1.10199371]
[ 1.04778665  1.10284994]
[ 1.04818662  1.10410802]
[ 1.04788799  1.10476024]
[ 1.04774918  1.10556954]
[ 1.04756773  1.10635283]
[ 1.04751225  1.10725733]
[ 1.04770158  1.10838399]
[ 1.04778266  1.10942242]
[ 1.04766259  1.11029578]
[ 1.04733525  1.11100137]
[ 1.04743388  1.11209061]
[ 1.04757933  1.11322567]
[ 1.0476604   1.11431189]
[ 1.0475528   1.11524423]
[ 1.04669989  1.11554238]
[ 1.04634665  1.11629233]
[ 1.0465339   1.11751716]
[ 1.04686009  1.1188621 ]
[ 1.04707613  1.12011481]
[ 1.04687707  1.12101796]
[ 1.04691539  1.12213855]
[ 1.04673864  1.12308136]
[ 1.04666439  1.12412247]
[ 1.04662072  1.12519719]
[ 1.04679311  1.1264639 ]
[ 1.04672523  1.12752962]
[ 1.04693121  1.12883838]
[ 1.04822854  1.13107364]
[ 1.04793237  1.13195221]
[ 1.04739059  1.13264635]
[ 1.04706068  1.13353686]
[ 1.04684446  1.13453176]
[ 1.04664281  1.13554482]
[ 1.046567    1.13667063]
[ 1.04645081  1.13776702]
[ 1.04636099  1.13889199]
[ 1.04629941  1.14004672]
[ 1.04624882  1.14121636]
[ 1.04626805  1.14245043]
[ 1.04614649  1.14357099]
[ 1.04606505  1.14473258]
[ 1.04589666  1.14582685]
[ 1.04585983  1.1470381 ]
[ 1.04584624  1.14827279]
[ 1.04579926  1.14948391]
[ 1.04578497  1.15072757]
[ 1.04569484  1.15191257]
[ 1.04569815  1.15318118]
[ 1.04572871  1.15447622]
[ 1.04575262  1.15576963]
[ 1.04573131  1.15702995]
[ 1.045591    1.15819686]
[ 1.04558186  1.15947859]
[ 1.04559376  1.16078079]
[ 1.04558207  1.16206697]
[ 1.04556454  1.16335249]
[ 1.04538315  1.16450739]
[ 1.04541478  1.16584365]
[ 1.04548432  1.16721247]
[ 1.04553883  1.16857118]
[ 1.0455363   1.16988659]
[ 1.0455964   1.17125732]
[ 1.04548846  1.17249408]
[ 1.04548874  1.17382463]
[ 1.04534895  1.17504398]
[ 1.04536314  1.17639341]
[ 1.04558673  1.1779135 ]
[ 1.04579529  1.17941998]
[ 1.04559372  1.18059781]
[ 1.04562825  1.18197484]
[ 1.04559212  1.18329647]
[ 1.04556149  1.18462595]
[ 1.04541033  1.18586181]
[ 1.0453887  1.1872062]
[ 1.04536147  1.18854734]
[ 1.04536028  1.18991133]
[ 1.04533581  1.19125855]
[ 1.04534995  1.19263896]
[ 1.0453418   1.19400328]
[ 1.04537948  1.19540618]
[ 1.04539522  1.19679298]
[ 1.04543119  1.19819778]
[ 1.0454839   1.19961727]
[ 1.04543248  1.20095619]
[ 1.04539479  1.20230948]
[ 1.04534384  1.20365459]
[ 1.04531044  1.20501564]
[ 1.04532096  1.20641254]
[ 1.04530525  1.20778963]
[ 1.04527752  1.20915899]
[ 1.04532278  1.21058686]
[ 1.04532232  1.21197917]
[ 1.04540044  1.21343396]
[ 1.04542364  1.21484586]
[ 1.04555277  1.21634098]
[ 1.04568914  1.2178403 ]
[ 1.04556356  1.21913804]
[ 1.04546285  1.22046088]
[ 1.04543237  1.2218402 ]
[ 1.04534271  1.22317438]
[ 1.04543184  1.22464726]
[ 1.04572131  1.2262698 ]
[ 1.04560691  1.22757959]
[ 1.04539439  1.22882167]
[ 1.0453614   1.23020576]
[ 1.04533537  1.23159394]
[ 1.04527216  1.23295371]
[ 1.04527589  1.23436524]
[ 1.04528394  1.2357792 ]
[ 1.04444337  1.2365503 ]
[ 1.04427567  1.23785018]
[ 1.04446002  1.23941061]
[ 1.0447246  1.241021 ]
[ 1.04487443  1.24253838]
[ 1.04490357  1.2439645 ]
[ 1.04503961  1.24547242]
[ 1.04511816  1.24693512]
[ 1.04519798  1.24839856]
[ 1.04529178  1.24987165]
[ 1.0453737   1.25133465]
[ 1.04543187  1.25277923]
[ 1.04557802  1.25428823]
[ 1.04566847  1.255753  ]
[ 1.04560888  1.25710702]
[ 1.04557375  1.25848222]
[ 1.0455388   1.25985806]
[ 1.04555041  1.26126798]
[ 1.04555883  1.26267406]
[ 1.04559717  1.26410098]
[ 1.04560903  1.26550696]
[ 1.0456405   1.26692664]
[ 1.04565671  1.26833393]
[ 1.04552356  1.2696325 ]
[ 1.04556184  1.27105857]
[ 1.04556726  1.27245734]
[ 1.04556034  1.27384609]
[ 1.04557077  1.27524664]
[ 1.04553674  1.27661392]
[ 1.04556955  1.27802926]
[ 1.04563422  1.27946483]
[ 1.04569899  1.28089756]
[ 1.04567815  1.28226709]
[ 1.04571696  1.28367976]
[ 1.04575899  1.28509238]
[ 1.04562003  1.28637476]
[ 1.04569116  1.28780998]
[ 1.04592966  1.28935772]
[ 1.04607746  1.29083236]
[ 1.04630262  1.29235782]
[ 1.04639287  1.29378281]
[ 1.04623552  1.29503487]
[ 1.046107    1.29631405]
[ 1.04601432  1.29762022]
[ 1.04596296  1.29895486]
[ 1.04594299  1.30030965]
[ 1.04590445  1.30164932]
[ 1.04591269  1.3030205 ]
[ 1.04594821  1.30440785]
[ 1.04602247  1.30581884]
[ 1.04604947  1.30719326]
[ 1.04605762  1.30855325]
[ 1.04607174  1.30991614]
[ 1.04607028  1.3112665 ]
[ 1.04605245  1.3126043 ]
[ 1.04603358  1.31394042]
[ 1.0460334  1.315288 ]
[ 1.04606986  1.31665838]
[ 1.04605103  1.31798775]
[ 1.04611382  1.31937189]
[ 1.04643318  1.32092487]
[ 1.04668417  1.32241726]
[ 1.04649767  1.32360834]
[ 1.04639009  1.3248636 ]
[ 1.04633599  1.32615638]
[ 1.04634075  1.32748705]
[ 1.04629883  1.32878275]
[ 1.04634476  1.33013655]
[ 1.04651215  1.33156658]
[ 1.04652432  1.33288446]
[ 1.04653226  1.3341996 ]
[ 1.04645602  1.33545749]
[ 1.0464269   1.33674832]
[ 1.04639396  1.33803474]
[ 1.04641743  1.33935698]
[ 1.04635515  1.34061857]
[ 1.04637174  1.34193279]
[ 1.04639596  1.34324816]
[ 1.0467544   1.34477925]
[ 1.04674033  1.34604855]
[ 1.04574539  1.3466755 ]
[ 1.04513348  1.34759436]
[ 1.04501374  1.34884816]
[ 1.04532949  1.35037825]
[ 1.04572617  1.35193782]
[ 1.04597001  1.35337935]
[ 1.04615559  1.35477614]
[ 1.0463604   1.35618046]
[ 1.04648172  1.35752372]
[ 1.04658966  1.35885506]
[ 1.04664941  1.36015136]
[ 1.04675321  1.36147355]
[ 1.0467456   1.36271877]
[ 1.04676386  1.36398075]
[ 1.04665973  1.36516164]
[ 1.0465453   1.36633887]
[ 1.04649121  1.36755619]
[ 1.04642924  1.36876616]
[ 1.04568392  1.36953509]
[ 1.04519918  1.37049999]
[ 1.04487599  1.3715755 ]
[ 1.0445586   1.37265376]
[ 1.044774    1.37407886]
[ 1.04542235  1.37576083]
[ 1.04587479  1.37728404]
[ 1.04622314  1.37872639]
[ 1.04643514  1.38007334]
[ 1.04665965  1.38142393]
[ 1.04681358  1.38272269]
[ 1.04699935  1.38403654]
[ 1.04706361  1.38526682]
[ 1.04714235  1.38650464]
[ 1.04718444  1.38771551]
[ 1.04719281  1.38890276]
[ 1.04724185  1.39011355]
[ 1.04721408  1.3912722 ]
[ 1.04725246  1.39247155]
[ 1.04729667  1.39366965]
[ 1.04767337  1.39506707]
[ 1.04788327  1.39633952]
[ 1.04782679  1.39744199]
[ 1.04768793  1.39850049]
[ 1.04763591  1.39961806]
[ 1.04754953  1.40071288]
[ 1.04752356  1.4018451 ]
[ 1.04753243  1.4029953 ]
[ 1.04754746  1.40414492]
[ 1.04759564  1.40531086]
[ 1.04763317  1.40646509]
[ 1.04767784  1.40761966]
[ 1.04773137  1.40877523]
[ 1.04777924  1.40992267]
[ 1.04778084  1.4110381 ]
[ 1.04779022  1.41215667]
[ 1.04777671  1.41325869]
[ 1.04777349  1.41436527]
[ 1.04780471  1.41548977]
[ 1.04780407  1.41659056]
[ 1.04774464  1.41765406]
[ 1.04779817  1.41878582]
[ 1.04792529  1.41995437]
[ 1.04798859  1.42107526]
[ 1.04806471  1.42219957]
[ 1.0480241   1.42324948]
[ 1.04835686  1.42452095]
[ 1.04846827  1.42563896]
[ 1.04866314  1.42680185]
[ 1.04876015  1.42789656]
[ 1.04861049  1.42884355]
[ 1.04846386  1.42980231]
[ 1.04835033  1.43078527]
[ 1.04829012  1.43180059]
[ 1.04828063  1.43284346]
[ 1.04823951  1.43386361]
[ 1.04822603  1.43489882]
[ 1.04821157  1.43593051]
[ 1.04826394  1.43699859]
[ 1.04833491  1.43807087]
[ 1.04861847  1.43925921]
[ 1.04884781  1.4403964 ]
[ 1.04853628  1.44121088]
[ 1.0483597   1.44212621]
[ 1.04821441  1.44306438]
[ 1.04833418  1.4441575 ]
[ 1.04836427  1.44518432]
[ 1.04839926  1.44620998]
[ 1.04864632  1.44735259]
[ 1.04864079  1.44833293]
[ 1.04865291  1.44932576]
[ 1.04867811  1.45032399]
[ 1.04867022  1.4512997 ]
[ 1.04865129  1.45226762]
[ 1.04863218  1.45323402]
[ 1.04866694  1.4542292 ]
[ 1.04866792  1.45519969]
[ 1.04871304  1.4561928 ]
[ 1.04870254  1.45714888]
[ 1.04875759  1.4581408 ]
[ 1.04882265  1.45913194]
[ 1.04888621  1.46011609]
[ 1.04896181  1.46110145]
[ 1.04891688  1.46201307]
[ 1.04889165  1.46293808]
[ 1.04892476  1.46389455]
[ 1.04888546  1.464805  ]
[ 1.04893772  1.46576699]
[ 1.04893175  1.46668957]
[ 1.04897343  1.46763715]
[ 1.049032    1.46858862]
[ 1.04894476  1.46945311]
[ 1.0490979   1.47045571]
[ 1.0491633   1.47139499]
[ 1.04914308  1.47228213]
[ 1.04900488  1.47310483]
[ 1.04903251  1.47402656]
[ 1.04910561  1.47496614]
[ 1.04910215  1.47585531]
[ 1.04918728  1.476792  ]
[ 1.04918765  1.47767372]
[ 1.04959574  1.47877703]
[ 1.04983826  1.47975771]
[ 1.04985819  1.48060526]
[ 1.04983698  1.4814338 ]
[ 1.04971476  1.48220936]
[ 1.04990141  1.48315912]
[ 1.05005048  1.48406954]
[ 1.04989022  1.48480247]
[ 1.04980269  1.48558794]
[ 1.04973942  1.48638862]
[ 1.04946851  1.48707665]
[ 1.04946765  1.48792639]
[ 1.04947151  1.48877015]
[ 1.04946465  1.48960319]
[ 1.04932961  1.49036422]
[ 1.04944091  1.49126533]
[ 1.04948644  1.49211728]
[ 1.04949983  1.49294715]
[ 1.04959457  1.49381835]
[ 1.0497228   1.49469833]
[ 1.04975837  1.49551854]
[ 1.04983661  1.4963594 ]
[ 1.04979654  1.49713042]
[ 1.04982518  1.49794068]
[ 1.04978911  1.49871165]
[ 1.04978095  1.49949821]
[ 1.0497789   1.50028556]
[ 1.04978799  1.50107607]
